PID,INNING_KEY,BATTER_IN_INNING_KEY,PITCH_NUMBER,OUT_KEY,BALLS,STRIKES,IS_RUNNER_ON_1B,IS_RUNNER_ON_2B,IS_RUNNER_ON_3B,PITCHER_KEY,THROW_SIDE_KEY,PITCH_TYPE_TRACKED_KEY,EVENT_RESULT_KEY,PITCH_RESULT_KEY,INDUCED_VERTICAL_BREAK,HORIZONTAL_BREAK,SPIN_RATE_ABSOLUTE,RELEASE_SPEED,RELEASE_SIDE,RELEASE_HEIGHT,RELEASE_EXTENSION,HORIZONTAL_APPROACH_ANGLE,VERTICAL_APPROACH_ANGLE,PLATE_X,PLATE_Z
1877,1,4,1,1,0,0,1,1,0,668881,R,SL,,StrikeCalled,5.7448201179504395,2.5226199626922607,2353.4599609375,90.54460144042969,-2.674999952316284,5.884729862213135,6.409999847412109,2.757889986038208,-7.137450218200684,-0.36725500226020813,1.8004399538040161
329,1,4,2,1,0,1,1,1,0,668881,R,SL,,FoulBall,1.998020052909851,5.253620147705078,2420.4599609375,89.53230285644531,-2.4792699813842773,5.990330219268799,6.289999961853027,2.2349600791931152,-7.105189800262451,-0.9034289717674255,2.402509927749634
645,1,4,3,1,0,2,1,1,0,668881,R,FB,,BallCalled,17.838199615478516,-12.584500312805176,2444.4599609375,100.62100219726562,-2.371220111846924,5.957330226898193,6.320000171661377,2.7636499404907227,-3.655590057373047,1.343559980392456,3.4510300159454346
1648,1,4,4,1,1,2,1,1,0,668881,R,FB,strikeout,StrikeSwinging,18.71769905090332,-16.59980010986328,2540.4599609375,101.71299743652344,-2.4186699390411377,6.007390022277832,6.420000076293945,1.1331499814987183,-3.771480083465576,0.16058200597763062,3.254889965057373
199,1,5,1,2,0,0,1,1,0,668881,R,FB,,StrikeCalled,17.17799949645996,-8.649889945983887,2544.4599609375,102.16300201416016,-2.0085699558258057,6.084280014038086,6.420000076293945,1.9874500036239624,-4.743289947509766,0.6248239874839783,2.5655999183654785
376,1,5,2,2,0,1,1,1,0,668881,R,FB,,StrikeSwinging,17.272899627685547,-9.186829566955566,2497.4599609375,101.12899780273438,-2.2107698917388916,6.106979846954346,6.230000019073486,1.5897899866104126,-4.029429912567139,0.10922899842262268,3.2917299270629883
1734,1,5,3,2,0,2,1,1,0,668881,R,FB,,FoulBall,17.88330078125,-12.626500129699707,2575.4599609375,101.10199737548828,-2.2598400115966797,6.115819931030273,6.309999942779541,0.9380829930305481,-4.994800090789795,-0.2316959947347641,2.323359966278076
1297,1,5,4,2,0,2,1,1,0,668881,R,FB,,BallCalled,19.599300384521484,-9.122269630432129,2515.4599609375,101.58799743652344,-1.913390040397644,6.222219944000244,6.340000152587891,2.440969944000244,-4.379370212554932,1.1776299476623535,2.813509941101074
1735,1,5,5,2,1,2,1,1,0,668881,R,SL,strikeout,StrikeCalled,3.4728200435638428,6.918149948120117,2394.4599609375,91.01679992675781,-2.27455997467041,6.023719787597656,6.389999866485596,2.6007800102233887,-7.425119876861572,-0.511946976184845,1.8400399684906006
646,2,1,1,0,0,0,0,0,0,668881,R,FB,,BallCalled,20.056100845336914,-10.17609977722168,2424.4599609375,99.83930206298828,-2.069509983062744,6.36614990234375,6.349999904632568,2.6749300956726074,-4.78318977355957,1.3375400304794312,2.633690118789673
246,2,1,3,0,2,0,0,0,0,668881,R,SL,,FoulBall,4.998350143432617,1.3050600290298462,2317.4599609375,89.04419708251953,-2.4505701065063477,5.962369918823242,6.5,3.214440107345581,-7.2952399253845215,0.3837980031967163,1.904189944267273
647,2,1,4,0,2,1,0,0,0,668881,R,SL,,BallCalled,3.7445499897003174,4.540219783782959,2360.4599609375,91.08439636230469,-2.4197299480438232,5.8907599449157715,6.659999847412109,4.276299953460693,-8.260689735412598,1.0821000337600708,0.9674630165100098
844,2,1,5,0,3,1,0,0,0,668881,R,FB,,FoulBall,15.588199615478516,-11.254599571228027,2403.4599609375,100.22699737548828,-2.419680118560791,5.788599967956543,6.650000095367432,1.4913400411605835,-5.268970012664795,-0.008404900319874287,2.0228800773620605
1649,2,1,6,0,3,2,0,0,0,668881,R,FB,,FoulBall,18.626399993896484,-7.882420063018799,2314.4599609375,100.8290023803711,-2.3083200454711914,6.056069850921631,6.53000020980835,2.9710800647735596,-4.263579845428467,1.1512999534606934,2.8910200595855713
1784,2,1,7,0,3,2,0,0,0,668881,R,FB,,FoulBall,15.699299812316895,-10.439299583435059,2344.4599609375,101.27799987792969,-2.5618300437927246,5.824769973754883,6.679999828338623,1.8846800327301025,-5.257480144500732,0.1292639970779419,1.9909299612045288
247,2,1,8,0,3,2,0,0,0,668881,R,FB,,FoulBall,17.431699752807617,-13.685500144958496,2475.4599609375,101.00800323486328,-2.4244399070739746,6.061970233917236,6.429999828338623,1.1656999588012695,-3.926140069961548,-0.08618269860744476,3.319920063018799
1736,2,1,9,0,3,2,0,0,0,668881,R,SL,strikeout,StrikeCalled,5.232999801635742,0.5104529857635498,2432.4599609375,91.88249969482422,-2.6047298908233643,5.883150100708008,6.53000020980835,2.718869924545288,-7.0524001121521,-0.15516899526119232,1.8408000469207764
1576,2,2,1,1,0,0,0,0,0,668881,R,FB,,StrikeSwinging,18.802000045776367,-11.070699691772461,2416.4599609375,100.48799896240234,-2.2867300510406494,6.055789947509766,6.380000114440918,2.145390033721924,-3.8583900928497314,0.7133640050888062,3.2737600803375244
248,2,2,2,1,0,1,0,0,0,668881,R,FB,,StrikeCalled,17.74650001525879,-10.464799880981445,2465.4599609375,102.3270034790039,-2.297260046005249,5.941390037536621,6.619999885559082,2.251660108566284,-4.269889831542969,0.7357209920883179,2.7817299365997314
225,2,2,3,1,0,2,0,0,0,668881,R,FB,,BallCalled,19.743200302124023,-12.179900169372559,2463.4599609375,101.27999877929688,-2.3757901191711426,5.9700398445129395,6.25,1.2265000343322754,-2.78764009475708,-0.1182980015873909,4.060150146484375
1847,2,2,4,1,1,2,0,0,0,668881,R,FB,,BallCalled,17.284500122070312,-14.50409984588623,2551.4599609375,101.68699645996094,-2.0524399280548096,6.107960224151611,6.480000019073486,2.129729986190796,-3.7751801013946533,1.2488199472427368,3.485759973526001
249,2,2,5,1,2,2,0,0,0,668881,R,FB,strikeout,StrikeSwinging,16.345699310302734,-10.965999603271484,2429.4599609375,101.35199737548828,-2.2800300121307373,5.771920204162598,6.539999961853027,1.6258599758148193,-3.7915399074554443,0.21720199286937714,3.205090045928955
226,2,3,1,2,0,0,0,0,0,668881,R,FB,single,InPlay,15.439000129699707,-13.635000228881836,2505.4599609375,101.13700103759766,-2.0837199687957764,5.994850158691406,6.349999904632568,1.4709500074386597,-5.48337984085083,0.534168004989624,1.9873499870300293
1744,2,4,1,2,0,0,1,0,0,668881,R,FB,,StrikeCalled,17.184200286865234,-14.592700004577637,2359.4599609375,100.8479995727539,-2.3127799034118652,5.955319881439209,6.349999904632568,1.6840100288391113,-4.066979885101318,0.5742300152778625,3.07778000831604
227,2,4,2,2,0,1,1,0,0,668881,R,FB,,FoulBall,16.41550064086914,-13.791899681091309,2385.4599609375,100.79399871826172,-2.316620111465454,6.002470016479492,6.369999885559082,0.7659059762954712,-4.531169891357422,-0.3541490137577057,2.7578999996185303
1785,2,4,3,2,0,2,1,0,0,668881,R,FB,,BallCalled,17.268600463867188,-12.009200096130371,2423.4599609375,101.50900268554688,-2.4285500049591064,6.055089950561523,6.400000095367432,1.5067299604415894,-3.2143399715423584,0.05740649998188019,3.931410074234009
1603,2,4,4,2,1,2,1,0,0,668881,R,FB,strikeout,FoulBall,15.772100448608398,-14.32960033416748,2401.4599609375,101.29299926757812,-2.376070022583008,5.7943902015686035,6.380000114440918,0.5113589763641357,-3.3901000022888184,-0.5884339809417725,3.671299934387207
1605,3,3,5,1,2,2,0,0,0,668881,R,FB,,FoulBall,17.162200927734375,-16.644500732421875,2534.4599609375,101.4729995727539,-2.516040086746216,5.778590202331543,6.320000171661377,1.691349983215332,-4.8648600578308105,0.5769150257110596,2.1499500274658203
1579,3,3,6,1,2,2,0,0,0,668881,R,SL,,BallCalled,0.7989400029182434,6.11106014251709,2425.4599609375,89.25080108642578,-2.5139501094818115,5.773369789123535,6.690000057220459,1.730870008468628,-6.008110046386719,-1.479159951210022,3.171250104904175
652,3,3,7,1,3,2,0,0,0,668881,R,FB,,FoulBall,20.97170066833496,-13.322500228881836,2394.4599609375,97.46749877929688,-2.393049955368042,5.7128400802612305,7.639999866485596,0.7734429836273193,-3.780639886856079,-0.5426520109176636,2.7358200550079346
228,3,3,8,1,3,2,0,0,0,668881,R,SL,walk,BallCalled,10.811800003051758,11.500800132751465,2466.4599609375,86.4845962524414,-2.0612399578094482,5.757269859313965,6.570000171661377,3.875040054321289,-6.01386022567749,0.5848039984703064,1.865820050239563
653,3,4,1,1,0,0,1,0,0,668881,R,FB,,FoulBall,13.208399772644043,-10.878499984741211,2508.4599609375,101.35099792480469,-2.170650005340576,5.731319904327393,7.050000190734863,2.105329990386963,-4.294479846954346,0.7573379874229431,3.0388998985290527
829,3,4,3,1,0,2,1,0,0,668881,R,UN,,BallCalled,15.197948455810547,-5.946775913238525,2542.0634765625,102.13762664794922,-1.7954763174057007,5.877261638641357,7.044740676879883,3.8814454078674316,-4.398392200469971,2.2708423137664795,2.887930393218994
1079,3,4,5,1,1,2,1,0,0,668881,R,SL,strikeout,StrikeSwinging,4.3704400062561035,-3.1557600498199463,2372.4599609375,90.72129821777344,-2.2871100902557373,5.713099956512451,6.309999942779541,2.056770086288452,-7.66372013092041,-0.10470899939537048,1.2081400156021118
847,3,5,1,2,0,0,1,0,0,668881,R,SL,,StrikeCalled,4.98360013961792,0.8182640075683594,2442.4599609375,91.49929809570312,-2.3849399089813232,5.822020053863525,7.480000019073486,2.8431200981140137,-7.405910015106201,0.10459200292825699,1.452489972114563
1751,3,5,2,2,0,1,1,0,0,668881,R,SL,,BallCalled,5.820409774780273,-0.030835000798106194,2411.4599609375,90.37740325927734,-2.6637799739837646,6.009109973907471,6.409999847412109,1.9893100261688232,-7.193429946899414,-0.8309360146522522,1.8407200574874878
516,3,5,3,2,1,1,1,0,0,668881,R,FB,,BallCalled,17.75160026550293,-10.300299644470215,2506.4599609375,101.73200225830078,-2.009690046310425,6.005169868469238,6.510000228881836,3.0350100994110107,-4.168089866638184,1.7316499948501587,2.9614999294281006
1854,3,5,4,2,2,1,1,0,0,668881,R,SL,,FoulBall,2.4869000911712646,4.478489875793457,2470.4599609375,91.2688980102539,-2.4055700302124023,5.774050235748291,6.159999847412109,2.76488995552063,-6.855160236358643,-0.2566710114479065,2.169790029525757
229,3,5,5,2,2,2,1,0,0,668881,R,FB,,FoulBall,12.177499771118164,-14.55519962310791,2538.4599609375,101.93000030517578,-2.2818400859832764,5.743599891662598,6.380000114440918,1.3316400051116943,-4.1203999519348145,0.28286299109458923,3.245569944381714
517,3,5,6,2,2,2,1,0,0,668881,R,FB,single,InPlay,15.989100456237793,-10.156700134277344,2419.4599609375,101.9000015258789,-2.362220048904419,5.773749828338623,6.210000038146973,2.754810094833374,-4.865200042724609,1.1237200498580933,2.2474899291992188
332,3,6,1,2,0,0,1,1,0,668881,R,SL,,BallCalled,4.256979942321777,1.629330039024353,2488.4599609375,90.48970031738281,-2.389620065689087,5.893060207366943,6.300000190734863,4.000959873199463,-8.396380424499512,1.1554399728775024,0.7430909872055054
230,3,6,2,2,1,0,1,1,0,668881,R,SL,,BallCalled,1.1411499977111816,7.358129978179932,2390.4599609375,90.57649993896484,-2.4418599605560303,5.855309963226318,6.059999942779541,4.722139835357666,-9.056269645690918,1.2603199481964111,0.4264479875564575
1922,3,6,3,2,2,0,1,1,0,668881,R,FB,,FoulBall,13.460200309753418,-14.284000396728516,2509.4599609375,100.26200103759766,-2.369539976119995,5.891439914703369,6.25,0.9198740124702454,-4.870309829711914,-0.20923200249671936,2.6556999683380127
278,3,6,4,2,2,1,1,1,0,668881,R,FB,,FoulBall,14.306699752807617,-15.457799911499023,2426.4599609375,100.51000213623047,-2.4391698837280273,5.88523006439209,6.079999923706055,0.23449000716209412,-4.034729957580566,-0.8143960237503052,3.3132801055908203
333,3,6,5,2,2,2,1,1,0,668881,R,FB,strikeout,StrikeCalled,10.791000366210938,-12.213899612426758,2402.4599609375,100.88200378417969,-2.5421199798583984,5.798799991607666,6.389999866485596,2.5464699268341064,-5.373169898986816,0.9237689971923828,2.302769899368286
424,4,1,1,0,0,0,0,0,0,668881,R,SL,,BallCalled,1.6243200302124023,3.727329969406128,2236.4599609375,89.42169952392578,-2.4040300846099854,5.874199867248535,6.519999980926514,2.6067399978637695,-8.3125,-0.3535340130329132,1.1878600120544434
231,4,1,2,0,1,0,0,0,0,668881,R,FB,,StrikeCalled,11.909000396728516,-16.55109977722168,2380.4599609375,98.76950073242188,-2.473180055618286,5.88785982131958,6.590000152587891,1.5995999574661255,-4.990900039672852,0.5161539912223816,2.758510112762451
1856,4,1,3,0,1,1,0,0,0,668881,R,SL,,StrikeCalled,2.7132298946380615,1.032670021057129,2373.4599609375,88.13629913330078,-2.654249906539917,5.819950103759766,6.110000133514404,2.3058199882507324,-6.777050018310547,-0.614192008972168,2.4388198852539062
232,4,1,4,0,1,2,0,0,0,668881,R,FB,,BallCalled,15.06029987335205,-14.745100021362305,2418.4599609375,98.6405029296875,-2.5884499549865723,5.823649883270264,6.650000095367432,1.4116499423980713,-2.4438700675964355,0.044780198484659195,4.722479820251465
1790,4,1,5,0,2,2,0,0,0,668881,R,FB,strikeout,FoulBall,14.690299987792969,-15.308799743652344,2415.4599609375,100.11000061035156,-2.2943899631500244,5.836569786071777,6.599999904632568,1.8010499477386475,-5.121089935302734,0.7600330114364624,2.2467100620269775
830,4,2,1,1,0,0,0,0,0,668881,R,FB,double,InPlay,10.144399642944336,-16.326799392700195,2412.4599609375,99.46389770507812,-2.3170900344848633,5.7878499031066895,6.559999942779541,0.6082389950752258,-5.4334797859191895,-0.26112100481987,2.3705899715423584
1583,4,3,1,1,0,0,0,1,0,668881,R,FB,stolen_base_3b,StrikeCalled,15.62660026550293,-17.33180046081543,2463.4599609375,100.6969985961914,-2.3472900390625,5.952789783477783,6.429999828338623,0.8568980097770691,-5.287209987640381,0.047394100576639175,2.135010004043579
849,4,3,2,1,0,1,0,0,1,668881,R,FB,,FoulBall,14.008700370788574,-18.13640022277832,2494.4599609375,100.65399932861328,-2.5958199501037598,5.839630126953125,6.5,0.9299669861793518,-4.415830135345459,-0.066280297935009,2.9709699153900146
335,4,3,3,1,0,2,0,0,1,668881,R,FB,,BallCalled,14.76039981842041,-12.888199806213379,2446.4599609375,100.4489974975586,-2.524280071258545,5.9676899909973145,6.400000095367432,2.731029987335205,-4.358860015869141,1.1757299900054932,3.075129985809326
336,4,3,4,1,1,2,0,0,1,668881,R,SL,,BallCalled,5.422679901123047,-2.074970006942749,2378.4599609375,91.31340026855469,-2.483330011367798,5.829929828643799,6.550000190734863,4.160580158233643,-7.914140224456787,1.528190016746521,0.953216016292572
1925,4,3,5,1,2,2,0,0,1,668881,R,FB,,FoulBall,13.88640022277832,-11.500499725341797,2356.4599609375,101.68699645996094,-2.606149911880493,5.930789947509766,6.510000228881836,1.7338600158691406,-3.729340076446533,0.037089500576257706,3.623990058898926
383,4,3,6,1,2,2,0,0,1,668881,R,FB,,BallCalled,13.954500198364258,-11.970499992370605,2452.4599609375,100.77999877929688,-2.444420099258423,5.88746976852417,6.639999866485596,3.289489984512329,-4.837940216064453,1.683210015296936,2.6363399028778076
1656,4,3,7,1,3,2,0,0,1,668881,R,FB,walk,BallCalled,13.92549991607666,-11.930000305175781,2508.4599609375,101.25900268554688,-2.4579501152038574,5.7917799949646,6.579999923706055,2.382430076599121,-5.604859828948975,0.8285380005836487,1.7900400161743164
425,4,4,1,1,0,0,1,0,1,518585,R,SF,,StrikeSwinging,7.352869987487793,-10.965900421142578,929.4569702148438,80.49469757080078,-1.4450199604034424,5.936870098114014,7.25,0.38338300585746765,-9.283249855041504,-0.08736850321292877,0.5611749887466431
1610,4,4,2,1,0,1,1,0,1,518585,R,SF,,BallCalled,6.188859939575195,-6.590419769287109,840.4569702148438,80.71759796142578,-1.5015300512313843,6.018640041351318,6.889999866485596,2.075119972229004,-11.186200141906738,0.9965779781341553,-1.0843299627304077
1881,4,4,3,1,1,1,1,0,1,518585,R,SF,,StrikeSwinging,8.614729881286621,-7.447289943695068,798.4569702148438,81.0156021118164,-1.4832299947738647,5.915440082550049,7.03000020980835,0.9767410159111023,-6.880459785461426,0.09063459932804108,2.598180055618286
426,4,4,4,1,1,2,1,0,1,518585,R,SF,,BallCalled,4.841909885406494,-11.978799819946289,864.4569702148438,80.92769622802734,-1.634060025215149,6.1085100173950195,6.590000152587891,-0.30302900075912476,-9.651840209960938,-0.8139230012893677,0.5313720107078552
1754,4,4,5,1,2,2,1,0,1,518585,R,SF,,BallCalled,4.745490074157715,-10.185099601745605,1043.4599609375,82.54679870605469,-1.572510004043579,5.9311299324035645,7.070000171661377,1.119339942932129,-9.961770057678223,0.3816629946231842,-0.03481749817728996
1791,4,5,1,1,0,0,1,1,1,518585,R,SL,,FoulBall,13.021300315856934,4.687339782714844,2489.4599609375,88.08809661865234,-1.6061099767684937,5.819019794464111,7.46999979019165,2.7635600566864014,-6.57144021987915,0.4603259861469269,1.7499500513076782
831,4,5,2,1,0,1,1,1,1,518585,R,SF,,BallCalled,5.199880123138428,-8.501810073852539,1237.4599609375,82.96820068359375,-1.5299899578094482,5.956729888916016,7.010000228881836,2.1605899333953857,-10.452899932861328,1.2240300178527832,-0.5074120163917542
832,4,5,3,1,1,1,1,1,1,518585,R,SL,,BallCalled,13.131500244140625,2.2838199138641357,2492.4599609375,88.4186019897461,-1.7631299495697021,5.7544097900390625,7.440000057220459,2.1459200382232666,-7.903779983520508,-0.03291049972176552,0.42065000534057617
1587,4,5,4,1,2,1,1,1,1,518585,R,FB,,StrikeCalled,19.308900833129883,-9.823240280151367,2302.4599609375,93.902099609375,-1.6362199783325195,5.788020133972168,7.650000095367432,1.6733800172805786,-5.245180130004883,0.7754459977149963,2.011009931564331
233,4,5,5,1,2,2,1,1,1,518585,R,SF,,BallCalled,2.2799599170684814,-10.424799919128418,1055.4599609375,82.95030212402344,-1.6296600103378296,5.967030048370361,7.090000152587891,1.2862199544906616,-10.765399932861328,0.5043089985847473,-0.5094550251960754
337,4,5,6,1,3,2,1,1,1,518585,R,SL,,FoulBall,12.325799942016602,2.944230079650879,2373.4599609375,89.35089874267578,-1.824049949645996,5.715419769287109,7.010000228881836,2.2616100311279297,-5.967629909515381,-0.03607669845223427,2.2025599479675293
234,4,5,7,1,3,2,1,1,1,518585,R,FB,walk,BallCalled,18.92609977722168,-11.813899993896484,2345.4599609375,93.98609924316406,-1.9105199575424194,5.733980178833008,7.519999980926514,1.3066500425338745,-5.958779811859131,0.35933101177215576,1.3423999547958374
279,4,6,1,1,0,0,1,1,1,518585,R,SL,,BallCalled,12.54539966583252,2.5229899883270264,2457.4599609375,87.28780364990234,-1.7532099485397339,5.66480016708374,7.369999885559082,3.88877010345459,-7.30226993560791,1.5375100374221802,0.9992309808731079
235,4,6,2,1,1,0,1,1,1,518585,R,SL,,BallCalled,13.008099555969238,3.9646201133728027,2489.4599609375,88.31269836425781,-1.6064800024032593,5.650450229644775,7.329999923706055,3.7793400287628174,-7.547369956970215,1.4560099840164185,0.663398027420044
1657,4,6,3,1,2,0,1,1,1,518585,R,FB,,BallCalled,19.201099395751953,-10.839599609375,2287.4599609375,93.89029693603516,-1.7165100574493408,5.915679931640625,7.119999885559082,-0.3808929920196533,-5.467679977416992,-1.0580500364303589,1.9746099710464478
280,4,6,4,1,3,0,1,1,1,518585,R,FB,,FoulBall,20.304000854492188,-10.329999923706055,2268.4599609375,94.30030059814453,-1.899880051612854,5.730510234832764,7.329999923706055,1.033869981765747,-5.130090236663818,0.00590066984295845,2.0109500885009766
339,4,6,5,1,3,1,1,1,1,518585,R,FB,,FoulBall,21.13450050354004,-12.651700019836426,2380.4599609375,94.35299682617188,-1.8250000476837158,5.884379863739014,7.159999847412109,-0.12296400219202042,-4.742119789123535,-0.7535390257835388,2.4285500049591064
1590,4,6,6,1,3,2,1,1,1,518585,R,FB,walk,BallCalled,17.24920082092285,-11.064200401306152,2293.4599609375,94.50859832763672,-1.7437299489974976,5.768959999084473,7.360000133514404,0.625249981880188,-6.092299938201904,-0.14905300736427307,1.4109899997711182
236,4,7,1,1,0,0,1,1,1,518585,R,FB,,StrikeCalled,16.361600875854492,-11.599100112915039,2120.4599609375,92.1509017944336,-1.9552700519561768,5.769529819488525,6.980000019073486,0.9193220138549805,-6.0470499992370605,-0.042500801384449005,1.6684099435806274
282,4,7,2,1,0,1,1,1,1,518585,R,SL,,FoulBall,10.392000198364258,4.096739768981934,2419.4599609375,87.29540252685547,-1.800469994544983,5.715439796447754,6.929999828338623,2.5262200832366943,-6.895949840545654,0.1275160014629364,1.6562600135803223
1658,4,7,3,1,0,2,1,1,1,518585,R,SF,wild_pitch,BallCalled,-4.6315999031066895,-3.0752201080322266,1016.4600219726562,82.15950012207031,-1.552549958229065,5.915279865264893,7.159999847412109,2.71016001701355,-10.621800422668457,1.1873600482940674,0.22356800734996796
237,4,7,4,1,1,2,0,1,1,518585,R,SF,,BallCalled,-0.07858999818563461,-2.9680099487304688,1082.4599609375,81.13150024414062,-1.4537500143051147,5.980690002441406,7.059999942779541,1.9969099760055542,-9.31035041809082,0.6328160166740417,1.186669945716858
502,4,7,5,1,2,2,0,1,1,518585,R,FB,fielders_choice_out,InPlay,17.323299407958984,-9.048259735107422,2266.4599609375,93.34760284423828,-1.573889970779419,5.882150173187256,7.050000190734863,1.309440016746521,-5.551730155944824,0.4553700089454651,2.0677199363708496
853,4,8,1,2,0,0,1,0,1,622065,L,SI,,BallCalled,5.719550132751465,15.018699645996094,2290.4599609375,90.03959655761719,2.5024499893188477,5.7663397789001465,6.380000114440918,0.4904380142688751,-7.114699840545654,1.5868500471115112,1.7112699747085571
1288,4,8,2,2,1,0,1,0,1,622065,L,SI,,BallCalled,8.011059761047363,13.993200302124023,2297.4599609375,89.36530303955078,2.4175500869750977,5.8371100425720215,6.269999980926514,1.0468499660491943,-6.377439975738525,2.1109800338745117,2.302989959716797
1660,4,8,3,2,2,0,1,0,1,622065,L,SW,,StrikeCalled,5.860690116882324,-8.587789535522461,2435.4599609375,80.30860137939453,2.48717999458313,5.780399799346924,5.670000076293945,-3.99576997756958,-7.396470069885254,-0.45747101306915283,2.2907800674438477
340,4,8,4,2,2,1,1,0,1,622065,L,SI,,FoulBall,9.028949737548828,13.447199821472168,2274.4599609375,90.04570007324219,2.325129985809326,5.883969783782959,6.289999961853027,-0.9981549978256226,-6.199019908905029,0.17257000505924225,2.411600112915039
1661,4,8,5,2,2,2,1,0,1,622065,L,CH,strikeout,StrikeSwinging,4.057889938354492,13.779399871826172,1479.4599609375,86.44010162353516,2.186919927597046,6.0253400802612305,6.179999828338623,-0.6354719996452332,-8.103099822998047,0.3444969952106476,1.454859972000122
341,5,1,1,0,0,0,0,0,0,622065,L,SI,,StrikeCalled,8.287859916687012,19.468000411987305,2337.4599609375,89.06890106201172,2.243910074234009,5.812230110168457,6.050000190734863,-0.4958769977092743,-6.90408992767334,-0.01487400010228157,1.8591099977493286
504,5,1,2,0,0,1,0,0,0,622065,L,CH,,BallCalled,3.0483100414276123,17.15570068359375,1486.4599609375,84.6812973022461,2.2412900924682617,5.956019878387451,5.920000076293945,0.16329999268054962,-9.268349647521973,0.8210110068321228,0.5471010208129883
238,5,1,3,0,1,1,0,0,0,622065,L,CH,field_out,InPlay,3.346909999847412,16.07349967956543,1555.4599609375,84.60199737548828,2.162600040435791,6.000120162963867,5.889999866485596,-0.23055599629878998,-7.899829864501953,0.478983998298645,1.8521599769592285
239,5,2,1,1,0,0,0,0,0,622065,L,SW,field_out,InPlay,3.696310043334961,-18.715499877929688,2210.4599609375,80.24130249023438,2.4960899353027344,5.805109977722168,5.800000190734863,-4.9863600730896,-7.4855499267578125,-0.4152809977531433,2.5378599166870117
240,5,3,1,2,0,0,0,0,0,622065,L,SW,,StrikeCalled,5.317049980163574,-11.737700462341309,2220.4599609375,80.76170349121094,2.3807899951934814,5.8539299964904785,5.880000114440918,-3.952500104904175,-6.752500057220459,-0.21101699769496918,3.0360898971557617
